"province","start","end","nyearoccur","noccur","deaths","avoccur","DL","HDI","GDP"
"ACEH",2008,2017,10,24,55,2,6,71.19,155912.32
"BALI",2011,2018,4,7,16,2,4,74.77,234430.72
"BANTEN",2008,2018,10,16,132,2,13,71.95,614906.61
"BENGKULU",2012,2016,3,3,4,1,1,70.64,66412.9
"DI YOGYAKARTA",2010,2017,4,5,7,1,2,79.53,129877.46
"DKI JAKARTA",2008,2018,8,13,87,2,11,80.47,2599173.75
"GORONTALO",2009,2017,8,11,23,1,3,67.71,37736.27
"JAMBI",2010,2018,6,10,14,2,2,70.65,208378.56
"JAWA BARAT",2008,2018,11,56,162,5,15,71.3,1962231.58
"JAWA TENGAH",2008,2018,11,68,199,6,18,71.12,1268700.97
"JAWA TIMUR",2008,2018,11,57,175,5,16,70.77,2189783.7
"KALIMANTAN BARAT",2008,2018,7,9,9,1,1,66.98,194032.85
"KALIMANTAN SELATAN",2008,2016,7,21,45,3,6,70.17,171935.75
"KALIMANTAN TENGAH",2008,2017,4,5,8,1,2,70.42,138740.72
"KALIMANTAN TIMUR",2008,2018,9,23,35,3,4,75.83,638116.9
"KALIMANTAN UTARA",2014,2017,3,3,4,1,1,70.56,86058.89
"KEP. BANGKA BELITUNG",2013,2017,3,4,7,1,2,70.67,73069.31
"KEPULAUAN RIAU",2013,2018,2,3,4,2,2,74.84,249076.91
"LAMPUNG",2008,2018,8,20,51,2,6,69.02,333681.43
"MALUKU",2008,2018,6,13,60,2,10,68.87,43064.61
"MALUKU UTARA",2011,2012,2,2,9,1,4,67.76,36497.64
"NUSA TENGGARA BARAT",2011,2018,7,20,33,3,5,67.3,123871.68
"NUSA TENGGARA TIMUR",2008,2018,11,33,81,3,7,64.39,99087.25
"PAPUA",2008,2017,6,9,45,2,8,60.06,210659.81
"PAPUA BARAT",2010,2016,2,2,175,1,88,63.74,79644.47
"RIAU",2008,2017,5,8,15,2,3,72.44,755274.29
"SULAWESI BARAT",2008,2013,5,9,42,2,8,65.1,43545.48
"SULAWESI SELATAN",2008,2018,10,41,84,4,8,70.9,462341.96
"SULAWESI TENGAH",2008,2017,9,16,32,2,4,68.88,150636.32
"SULAWESI TENGGARA",2010,2017,5,11,90,2,18,70.61,118092.66
"SULAWESI UTARA",2008,2017,8,14,67,2,8,72.2,119543.61
"SUMATERA BARAT",2008,2018,11,26,61,2,6,71.73,230528.81
"SUMATERA SELATAN",2010,2017,5,10,13,2,3,69.39,419723.11
"SUMATERA UTARA",2008,2018,10,38,134,4,13,71.18,741192.69
